,UNUSUAL_BELIEFS,0
0,0.0,13.240632
1,0.0,12.686661
2,1.25,13.847127
3,0.0,5.6147437
4,0.0,10.886529
5,0.0,11.771012
6,0.25,13.287014
7,0.0,12.15962
8,0.75,14.972359
9,0.0,14.636821
10,0.0,12.740054
11,2.75,18.461899
12,0.0,13.193709
13,0.75,6.6792254
14,0.0,11.7165785
15,2.5,14.444934
16,1.75,13.435735
17,0.0,14.65076
18,0.5,9.947528
19,0.0,11.635052
20,1.0,14.348449
21,1.25,11.345603
22,0.75,13.902207
23,1.5,10.295211
24,2.25,13.024603
25,0.5,13.649989
26,2.25,11.209746
27,0.0,9.38709
28,0.0,6.1206346
29,0.5,11.94504
30,0.0,11.896641
31,0.0,9.704045
32,0.0,15.518853
33,0.5,15.792904
34,0.0,13.02221
35,0.0,11.4289465
36,0.0,9.931178
37,0.0,12.154267
38,0.0,13.864181
39,0.0,14.478742
40,0.0,9.055815
41,0.0,9.928079
42,0.0,9.784671
43,0.25,11.547156
44,0.0,13.118913
45,0.0,12.47219
46,0.5,8.862281
47,0.5,12.258938
48,0.0,13.690639
49,0.5,12.164663
50,0.0,12.092395
51,0.0,11.211849
52,0.75,13.426757
