,WDR,0
0,70.0,66.346695
1,80.0,53.54344
2,25.0,54.295696
3,70.0,70.391716
4,25.0,27.749403
5,55.0,47.5768
6,95.0,78.75982
7,90.0,64.50384
8,70.0,62.54634
9,40.0,45.08706
10,55.0,60.635277
11,80.0,64.22276
12,95.0,63.065834
13,95.0,63.320354
14,40.0,45.444454
15,80.0,71.05753
16,75.0,72.64591
17,40.0,52.53954
18,70.0,74.980225
19,70.0,65.44048
20,90.0,57.412514
21,5.0,48.217957
22,55.0,50.400074
23,10.0,5.1219306
24,15.0,69.51385
25,45.0,50.315125
26,70.0,73.730934
27,70.0,66.55427
28,40.0,46.895084
29,15.0,53.359367
30,75.0,69.75122
31,95.0,47.57807
32,70.0,44.155647
33,40.0,70.36344
34,55.0,62.26738
35,45.0,44.770477
36,55.0,58.240158
37,55.0,56.939438
38,55.0,66.27479
39,80.0,77.74609
40,15.0,55.296707
41,80.0,66.41382
42,25.0,50.233204
43,90.0,77.932655
44,5.0,52.763718
45,70.0,62.56662
46,70.0,72.848335
47,85.0,77.75148
48,70.0,65.98305
49,90.0,49.659374
50,70.0,55.227398
51,40.0,48.84491
52,10.0,39.840637
53,95.0,62.29902
54,55.0,55.30149
55,85.0,58.22642
56,80.0,82.45367
57,60.0,72.52247
58,55.0,61.24885
59,70.0,63.253136
60,60.0,60.142975
61,70.0,56.834225
