,WDR,0
0,70.0,67.04498
1,70.0,68.0571
2,70.0,69.239494
3,25.0,32.077965
4,25.0,39.959076
5,45.0,36.89892
6,45.0,44.424603
7,25.0,62.558376
8,80.0,62.505222
9,90.0,72.60378
10,70.0,62.752357
11,25.0,49.109695
12,80.0,72.058365
13,45.0,59.54052
14,90.0,77.13313
15,80.0,67.93476
16,25.0,46.51897
17,90.0,64.35262
18,55.0,63.832493
19,40.0,57.79433
20,95.0,69.63204
21,5.0,11.873183
22,15.0,60.212234
23,80.0,67.2286
24,70.0,71.467
25,55.0,64.39619
26,45.0,60.684906
27,95.0,67.669785
28,45.0,47.492496
29,55.0,50.435593
30,30.0,43.905514
31,25.0,42.392124
32,75.0,74.059525
33,5.0,38.06288
34,70.0,59.92571
35,25.0,43.04799
36,25.0,48.118332
37,75.0,40.655895
38,70.0,73.172005
39,90.0,75.89068
40,60.0,74.57592
41,15.0,46.992264
42,80.0,82.07003
43,5.0,14.451695
44,95.0,55.77839
45,55.0,55.196297
46,70.0,45.625233
47,15.0,55.83244
48,10.0,55.758026
49,90.0,68.73615
50,5.0,24.55492
51,25.0,57.30379
52,80.0,84.347916
53,60.0,63.104923
54,95.0,71.951256
55,5.0,53.119522
56,90.0,79.669
57,25.0,49.689358
58,15.0,21.148285
59,15.0,68.16209
60,95.0,89.25477
61,55.0,31.803045
62,95.0,88.967896
63,75.0,56.434776
64,70.0,70.61883
65,55.0,44.58859
66,25.0,25.159922
67,55.0,50.863174
68,90.0,80.62429
69,40.0,50.025368
70,70.0,63.955524
71,55.0,52.247837
72,70.0,53.094635
73,70.0,70.48571
74,5.0,52.41883
75,95.0,51.124264
76,85.0,71.81134
77,90.0,65.380196
78,70.0,67.15566
79,25.0,38.8983
80,15.0,18.227749
81,55.0,52.807114
82,55.0,52.9266
83,45.0,41.14256
84,5.0,51.926598
85,85.0,82.20224
86,90.0,75.57284
87,40.0,40.292747
88,85.0,88.02441
89,45.0,48.9186
90,60.0,50.905212
91,25.0,54.29342
92,55.0,51.468525
93,10.0,24.82311
94,70.0,69.630135
95,40.0,47.212307
96,80.0,57.694683
97,60.0,57.85946
98,95.0,63.188026
99,55.0,49.989716
100,70.0,50.076595
101,60.0,64.0746
102,30.0,30.63508
103,40.0,52.151978
104,40.0,44.514606
105,25.0,23.768854
106,55.0,56.403385
107,55.0,48.406944
108,70.0,64.05169
109,40.0,34.66966
110,95.0,81.78595
111,45.0,58.7526
112,15.0,38.47293
113,55.0,45.70992
114,95.0,39.04909
115,80.0,75.70195
116,90.0,76.123116
