,WDR,0
0,25.0,52.832672
1,25.0,30.625536
2,55.0,57.003075
3,45.0,46.684998
4,85.0,89.28537
5,90.0,73.97166
6,80.0,78.79032
7,75.0,32.04162
8,40.0,52.672924
9,80.0,70.731804
10,95.0,64.98855
11,70.0,76.66815
12,75.0,56.315365
13,15.0,56.924194
14,55.0,62.122284
15,5.0,44.81691
16,90.0,82.078354
17,90.0,54.608337
18,70.0,61.85555
19,75.0,56.368744
20,95.0,42.913704
21,10.0,52.375656
22,80.0,83.654335
23,80.0,70.895645
24,15.0,56.750336
25,80.0,74.97061
26,10.0,38.05162
27,15.0,43.25054
28,90.0,89.41263
29,55.0,54.10228
30,5.0,37.34621
31,55.0,50.14427
32,25.0,39.062748
33,10.0,46.449303
34,70.0,63.0625
35,45.0,50.09139
36,55.0,52.885128
37,60.0,58.545914
38,40.0,51.2915
39,95.0,71.76125
40,60.0,68.19086
41,70.0,54.175236
42,55.0,54.302814
43,40.0,41.23875
44,15.0,59.583855
45,55.0,68.04969
46,75.0,72.59097
47,10.0,21.152775
48,30.0,72.57758
49,70.0,68.489204
50,80.0,72.31524
51,40.0,51.93673
52,80.0,68.93145
53,5.0,57.010387
54,25.0,54.29175
55,95.0,67.43909
56,85.0,70.37349
57,95.0,77.63529
58,70.0,61.676945
59,10.0,58.381844
60,95.0,69.40914
61,70.0,63.864914
