,WELLBEING,0
0,2.8,28.278118
1,3.4,28.894854
2,4.13,35.54088
3,3.53,35.631153
4,3.73,49.075375
5,4.53,42.63732
6,4.33,44.09553
7,3.13,37.901726
8,4.07,45.622463
9,4.07,42.71919
10,4.8,43.6579
11,4.53,52.367855
12,4.6,35.920807
13,4.13,54.04506
14,4.8,41.42078
15,3.67,44.387615
16,5.0,41.462475
17,4.47,46.199066
18,3.53,42.74048
19,3.8,39.810223
20,4.47,44.4195
21,2.0,39.432648
22,4.0,38.556633
23,3.93,39.717297
24,3.87,44.79125
25,4.87,38.235367
26,4.53,31.068375
27,4.13,48.151634
28,3.87,36.55949
29,3.67,44.353825
30,3.93,53.9259
31,4.27,55.9808
32,3.47,48.26869
33,4.2,37.83823
34,5.0,46.743927
35,4.27,52.78096
36,4.33,42.82546
37,3.4,35.57048
38,4.67,44.53438
39,2.87,38.06667
40,3.47,54.94551
41,4.0,48.777775
42,4.0,50.026863
43,3.8,41.840725
44,4.47,32.95038
45,3.07,38.322266
46,4.73,44.768715
47,2.73,42.49199
48,3.13,34.285015
49,3.6,38.335365
50,4.27,54.322193
51,2.87,30.213564
