,WELLBEING,0
0,4.93,63.752926
1,5.0,36.90189
2,5.0,38.376225
3,2.47,37.47132
4,3.0,36.628567
5,4.33,47.99052
6,3.8,34.28174
7,3.6,41.66389
8,2.47,37.89068
9,4.93,40.45834
10,4.8,55.396442
11,3.67,36.732197
12,2.87,32.100998
13,4.2,47.68844
14,2.93,27.005938
15,4.0,42.9931
16,4.0,45.418247
17,2.93,36.726597
18,4.4,60.515232
19,3.87,36.444477
20,4.13,33.30783
21,4.67,45.66836
22,4.87,49.090878
23,3.87,38.24813
24,3.93,47.848557
25,3.73,43.739758
26,4.67,43.80852
27,4.6,44.76052
28,4.27,44.015995
29,4.07,50.999058
30,4.07,47.083107
31,3.67,41.857494
32,4.87,55.24858
33,4.53,48.955925
34,3.8,42.494
35,3.27,36.164642
36,3.8,34.94286
37,4.87,44.515636
38,2.2,36.856663
39,4.93,36.267822
40,4.6,40.356148
41,3.0,30.01575
42,4.53,54.359978
43,4.8,58.762966
44,3.47,43.068146
45,3.93,32.51548
46,4.73,50.11113
47,4.47,37.54345
48,5.0,54.012974
49,3.07,19.7567
50,4.93,55.176846
51,3.87,37.189816
52,4.07,47.4978
53,4.13,51.383633
54,4.0,52.422268
55,3.87,38.498814
56,4.2,45.487343
57,4.07,47.720707
58,4.6,50.158466
59,4.33,45.334354
60,5.0,51.086025
61,4.0,41.525433
62,5.0,44.671917
63,4.07,44.94069
64,4.4,39.91746
65,3.6,41.59087
66,3.6,33.344433
67,5.0,63.38404
68,3.53,37.5964
69,4.53,40.6301
70,4.13,43.38345
71,4.27,45.48267
72,4.53,42.955307
73,4.33,52.23483
74,4.27,35.536083
75,5.0,55.111156
76,4.47,44.1523
77,4.33,38.27796
78,4.67,36.991077
79,3.53,41.128513
80,3.2,34.364502
81,2.67,26.323114
82,5.0,48.50418
83,4.13,47.841183
84,3.93,41.303387
85,4.93,28.034773
86,4.27,42.275608
87,4.07,38.51769
88,3.53,31.358149
89,4.2,38.706642
90,4.33,43.029217
91,3.6,43.769753
92,3.67,43.1953
93,3.33,28.84205
94,3.13,38.742603
95,4.07,65.30624
96,3.67,40.300793
97,1.0,33.072426
98,3.2,37.419006
99,3.67,47.649723
100,4.67,33.73979
101,5.0,46.857212
102,3.6,47.117393
103,2.07,36.607433
104,4.33,30.351137
105,4.2,45.550205
106,3.93,35.74361
107,3.8,30.988935
108,3.67,44.431202
109,3.27,44.94191
110,3.8,45.345943
111,4.13,43.972057
112,3.4,38.717327
113,4.2,40.16932
114,3.47,32.58932
115,3.93,42.928547
116,4.0,36.31006
117,4.8,45.381824
118,4.2,43.099377
119,3.6,39.906937
120,3.73,43.62441
121,3.53,41.0172
122,5.0,43.11267
123,4.4,38.428806
124,4.27,50.262005
125,3.53,42.826077
126,3.27,28.722414
127,4.8,45.558285
128,4.47,37.330647
129,4.6,40.934643
130,3.73,40.662975
131,4.07,36.227314
132,2.93,37.14771
133,4.67,35.926662
134,4.4,33.584034
135,2.8,48.61323
136,3.2,29.642008
137,3.67,48.447372
138,3.73,44.371822
139,4.73,46.546253
140,4.93,57.03458
141,1.07,36.955738
142,4.2,35.83631
143,3.33,33.326756
144,4.07,29.295805
145,5.0,49.08997
146,3.0,31.279951
147,4.73,63.42333
148,5.0,33.777096
149,5.0,56.19013
150,3.53,27.429502
151,3.67,32.480106
152,2.0,31.541925
153,3.4,35.41492
154,3.0,22.913975
155,4.33,41.135128
156,4.07,43.773037
157,4.6,49.171116
158,4.4,42.707455
159,4.27,40.95622
160,4.87,50.228523
161,3.67,44.564583
162,4.13,49.54555
163,3.4,43.668037
164,4.53,44.382458
165,2.8,29.074997
166,4.67,42.70176
167,4.47,37.609867
168,4.93,48.456547
169,3.73,36.95963
170,4.27,47.252148
171,4.27,42.803772
172,3.6,42.957127
173,4.0,28.857088
174,4.8,42.900272
175,3.73,37.910526
176,4.47,49.934498
177,3.6,41.852978
178,4.4,42.113472
179,4.2,42.37634
180,3.0,36.828228
181,3.93,43.80055
182,4.53,38.94534
183,3.53,51.352856
184,2.93,46.88637
185,3.33,25.872087
186,4.93,47.395008
187,3.47,33.97836
188,5.0,37.361088
189,4.67,45.46223
190,2.93,32.36511
191,3.13,40.95992
192,3.07,27.487722
193,4.53,52.463547
194,3.73,46.723988
195,3.27,46.604664
196,4.2,43.348045
197,3.93,35.17815
198,3.8,30.403654
199,4.47,39.69865
200,4.47,40.926304
201,4.53,42.178524
202,4.47,45.88619
203,4.4,62.001667
204,5.0,43.46836
205,5.0,50.93226
206,4.93,49.27241
207,4.13,45.10834
208,3.8,36.568832
209,1.73,28.697252
