,WELLBEING,0
0,4.53,43.87009
1,2.8,46.766987
2,3.53,36.88376
3,4.8,46.226692
4,4.33,49.631477
5,3.87,48.400013
6,4.0,41.70276
7,3.2,38.66847
8,4.27,28.66936
9,4.2,41.09361
10,3.33,46.488636
11,5.0,53.21889
12,3.07,29.830416
13,3.0,37.727383
14,4.6,53.93374
15,4.73,50.095615
16,3.73,44.226395
17,4.13,37.983486
18,3.53,39.624313
19,3.73,31.153343
20,3.47,34.382717
21,4.2,50.28951
22,4.47,55.934624
23,4.13,42.1263
24,4.13,45.577003
25,4.27,46.491364
26,2.87,34.861935
27,3.27,27.301394
28,5.0,50.126858
29,3.07,34.210613
30,4.8,44.103916
31,3.67,38.56094
32,4.13,37.25944
33,3.6,26.609735
34,3.93,33.251553
35,2.47,36.750954
36,3.47,41.70712
37,4.8,48.665813
38,3.73,25.979548
39,4.8,46.555096
40,4.33,31.856092
41,3.53,46.14672
42,4.33,37.792416
43,2.93,31.952383
44,4.0,37.587627
45,3.53,45.817234
46,3.67,34.543262
47,3.8,43.076694
48,4.07,44.489986
49,3.73,37.48846
50,4.73,47.824177
51,4.13,38.47828
52,3.8,40.21803
