,WITHDRAWAL,0
0,0.75,24.165373
1,0.0,22.737753
2,0.0,24.574717
3,0.75,27.864138
4,0.75,25.711515
5,0.0,22.71435
6,1.75,28.33425
7,0.0,23.38436
8,0.5,26.606768
9,0.0,23.18193
10,0.0,23.566957
11,0.0,25.525972
12,0.0,32.2665
13,0.25,26.47002
14,0.0,23.94053
15,0.0,25.914297
16,0.25,29.094229
17,0.25,27.665878
18,1.5,24.677944
19,0.5,23.73443
20,1.25,25.667828
21,0.5,24.340588
22,1.25,23.304794
23,1.0,28.799036
24,1.25,27.14097
25,0.0,20.412863
26,0.0,20.275017
27,0.0,21.12954
28,0.0,28.643602
29,0.75,25.587946
30,0.75,27.63169
31,0.0,31.257662
32,0.5,28.050097
33,0.75,30.222996
34,0.0,22.05829
35,0.0,28.383516
36,0.0,24.87779
37,0.0,28.719662
38,0.0,24.302715
39,1.75,27.204908
40,1.5,26.838505
41,0.75,26.480715
42,0.0,21.875244
43,0.25,23.76221
44,0.0,26.066715
45,0.75,23.852213
46,1.25,26.191067
47,0.0,20.586761
48,1.75,31.967978
49,2.5,24.630043
50,2.25,28.813377
51,1.5,30.849665
