,WITHDRAWAL,0
0,0.0,29.417093
1,0.0,24.927328
2,0.25,26.985868
3,2.5,31.94903
4,0.0,25.656763
5,0.0,21.587053
6,0.0,24.496752
7,0.75,28.35538
8,0.0,21.156631
9,1.75,28.770672
10,0.0,23.209585
11,0.0,25.96642
12,0.0,26.037165
13,0.5,23.923523
14,0.0,27.461943
15,0.0,24.588919
16,0.75,25.305092
17,0.0,24.473604
18,0.0,24.559294
19,1.5,28.71973
20,0.5,26.215199
21,0.0,27.24166
22,1.25,27.736166
23,0.25,28.647081
24,0.75,23.712723
25,0.0,25.929974
26,2.0,25.665216
27,0.0,25.389566
28,0.25,24.056261
29,1.5,27.788105
30,0.5,21.816387
31,0.0,20.280718
32,0.0,24.006975
33,0.0,23.286375
34,1.5,29.35679
35,0.25,24.10235
36,2.25,34.003376
37,0.25,32.089832
38,0.0,21.65671
39,0.75,22.284185
40,0.0,22.960146
41,0.25,26.350122
42,0.0,26.014677
43,1.25,27.690088
44,0.75,29.619219
45,0.75,27.724636
46,0.0,23.774355
47,1.0,24.705408
48,1.25,25.803667
49,0.5,23.702614
50,1.25,32.264164
51,0.0,25.720247
52,0.75,24.955961
53,0.75,27.605371
54,1.25,26.998224
55,0.0,26.65098
56,0.25,27.391937
57,0.25,26.650742
58,0.5,26.427982
59,0.5,23.09523
60,2.75,34.526226
61,2.0,26.277231
62,0.5,25.809908
63,1.25,25.101095
64,0.5,25.181326
65,0.0,24.092525
66,0.0,26.11896
67,1.0,27.793295
68,0.0,22.796276
69,1.25,30.81098
70,0.5,24.037004
71,0.5,24.568064
72,1.0,23.5347
73,0.0,27.284311
74,0.0,26.644619
75,0.0,23.285675
76,0.0,25.186441
77,0.25,25.376474
78,1.0,28.533337
79,1.75,27.489054
80,0.0,23.54968
81,0.0,26.00777
82,1.0,25.112764
83,0.0,26.441683
84,1.5,24.902643
85,2.0,25.656996
86,0.75,28.627256
87,1.5,28.52201
88,1.0,29.225935
89,0.25,25.255362
90,1.0,26.286133
91,0.0,25.14341
92,0.25,22.908659
93,0.0,23.661905
94,0.0,18.599075
95,0.0,24.76538
96,3.0,29.960806
97,2.0,31.517893
98,0.0,22.180979
99,0.5,21.894806
100,3.0,29.20912
101,0.0,25.155775
102,0.5,28.826744
103,0.5,25.197641
104,0.5,26.520357
105,0.25,32.6963
106,0.25,27.200169
107,0.25,25.611443
108,0.0,24.642881
109,0.25,26.161089
110,0.0,27.6752
111,0.25,24.677279
112,0.25,27.61141
113,0.0,22.476637
114,0.0,25.839886
115,1.0,29.400255
116,0.25,28.137993
117,1.5,26.037346
118,0.0,27.001724
119,0.0,29.007395
120,0.0,27.400988
121,0.0,25.868376
122,0.0,23.846704
123,0.0,26.055883
124,0.0,24.496386
125,0.0,25.401304
126,0.0,31.016562
127,0.0,26.091295
128,0.0,28.159767
129,1.75,27.746447
130,0.5,23.804869
131,0.0,26.450891
132,2.25,27.973276
133,2.75,29.714655
134,0.25,24.299524
135,0.25,26.777983
136,0.5,26.10582
137,0.5,25.734797
138,0.25,26.442837
139,0.25,27.686274
140,0.5,24.49637
141,1.75,27.82804
142,0.25,26.953531
143,0.0,25.168093
144,0.25,26.501707
145,0.0,23.761354
146,0.0,22.512568
147,0.5,22.079668
148,0.0,29.0665
149,0.25,26.6785
150,1.0,23.869106
151,1.0,28.08969
152,0.75,26.901827
153,0.25,26.032442
154,0.25,25.608889
