,WITHDRAWAL,0
0,0.5,25.1146
1,1.25,27.670736
2,0.0,22.928387
3,0.0,24.410612
4,0.25,27.71042
5,1.0,25.54191
6,1.0,24.685606
7,0.75,24.998571
8,0.0,26.63789
9,0.0,23.03273
10,2.0,27.461206
11,0.5,27.518097
12,1.75,32.696556
13,0.75,24.797625
14,1.5,25.035032
15,0.0,23.665495
16,0.0,24.474989
17,2.25,28.993807
18,0.0,26.003862
19,3.0,26.566153
20,1.0,28.443237
21,0.0,25.706327
22,0.0,18.323854
23,0.0,25.55517
24,1.25,30.25099
25,0.5,26.620352
26,1.75,31.583563
27,0.25,22.33625
28,0.25,24.978376
29,0.0,20.771755
30,0.0,22.56402
31,0.0,23.599075
32,0.0,27.440557
33,1.75,31.59633
34,0.5,26.955164
35,0.0,25.23599
36,2.0,27.304197
37,0.0,24.65219
38,1.0,26.84458
39,2.25,28.499891
40,0.75,26.22967
41,1.75,32.065983
42,1.5,26.761229
43,0.0,26.536839
44,1.5,28.303022
45,0.0,22.145227
46,0.0,24.057001
47,0.75,25.452448
48,0.0,22.075788
49,2.25,27.958939
50,0.0,23.63925
51,0.0,28.413696
52,0.75,28.705898
