,WITHD,0
0,59.0,60.92027
1,41.0,46.75758
2,45.0,49.484764
3,57.0,54.99911
4,43.0,48.20719
5,40.0,52.727688
6,46.0,43.789852
7,93.0,45.413067
8,54.25,49.182514
9,44.0,45.340427
10,49.0,49.640617
11,46.0,50.590824
12,43.0,50.246044
13,51.0,52.225533
14,58.0,52.07342
15,43.0,46.180767
16,60.0,55.673084
17,51.0,49.602547
18,83.0,52.68314
19,70.0,52.08325
20,51.25,52.365826
21,40.0,44.958897
22,52.0,52.254158
23,50.0,52.535862
24,82.0,50.43697
25,59.0,58.45219
26,51.25,49.978397
27,38.19444444,49.399452
28,65.0,53.193237
29,41.0,50.351704
30,40.0,46.094357
31,43.0,45.903847
32,60.0,56.815994
33,46.0,57.27915
34,42.0,45.51625
35,40.0,44.07413
36,54.0,54.138668
37,35.0,49.89102
38,53.0,52.166504
39,49.0,48.80419
40,47.0,52.729443
41,78.0,50.544716
42,58.0,52.98144
43,78.0,53.053467
44,49.0,53.53823
45,44.0,50.051
46,48.75,47.755905
47,35.0,45.706837
48,46.0,45.897358
49,51.0,51.396763
50,49.0,49.958344
51,51.5,51.17525
52,76.0,49.15624
53,40.0,47.97459
54,61.0,51.38049
55,43.0,48.161495
56,85.11111111,53.208626
57,49.0,47.977116
58,43.0,50.22783
59,53.0,49.17694
60,56.0,56.254517
61,70.0,52.42566
62,54.25,56.840294
63,64.79166667,50.33467
64,53.0,53.49088
65,58.0,52.2847
66,35.0,53.695293
67,56.0,45.023354
68,54.0,52.738583
69,70.20833333,49.56719
70,37.66666667,44.21869
71,51.0,50.63922
72,73.0,55.112698
73,53.0,53.01958
74,39.0,46.031418
75,75.0,63.15749
76,78.0,52.001568
77,67.0,55.4005
78,53.95833333,46.545635
79,70.0,57.16025
80,63.0,45.680393
81,84.0,51.41887
82,56.0,52.68847
83,53.66666667,53.940052
84,54.0,54.568626
85,49.0,50.251682
86,48.75,48.977688
87,49.58333333,49.265285
88,73.0,53.296154
89,35.0,48.330395
90,46.97222222,47.242943
91,78.0,54.500023
92,54.0,55.27968
93,45.0,48.466686
94,52.0,51.82571
95,49.0,45.94182
96,40.0,43.222958
97,47.0,45.996742
98,51.0,48.8484
99,93.0,46.899815
100,40.83333333,44.335617
101,58.0,50.81927
102,35.0,45.86664
103,55.0,43.66442
104,52.0,51.406895
105,35.0,45.525917
106,56.0,51.91826
107,56.66666667,53.668747
108,62.0,50.773857
109,51.0,50.936348
110,65.0,57.70064
111,36.0,45.676052
112,53.0,50.92764
113,54.0,47.565952
114,48.54166667,48.52722
115,80.0,63.003567
116,46.0,48.900406
117,85.0,52.653873
118,67.0,54.751408
119,51.0,50.55506
120,73.0,48.660755
121,54.0,50.73522
122,46.0,51.189526
123,47.0,52.026432
124,38.19444444,44.64381
125,51.0,53.158047
126,54.0,50.70687
127,59.0,51.10012
128,40.5,48.043056
129,51.0,49.73943
130,75.0,47.266655
131,46.38888889,48.626583
132,58.0,51.276833
133,54.0,45.10233
134,56.0,52.380066
135,46.66666667,52.66044
136,49.0,47.985153
137,53.0,52.610035
138,53.95833333,50.787292
139,35.0,48.962307
140,43.0,51.35501
141,61.0,53.90366
142,35.0,43.006184
143,43.0,46.278423
144,61.0,56.589573
145,54.0,51.207863
146,51.0,50.731533
147,47.0,45.44817
148,68.0,48.603394
149,57.0,57.307552
150,58.0,52.88776
151,53.66666667,53.14617
152,39.0,46.316853
153,43.0,44.637913
154,41.0,41.548138
155,44.0,47.21809
156,40.0,52.695736
157,40.0,46.311897
158,38.0,46.354362
159,43.0,46.02093
160,47.0,53.26226
161,43.0,48.949787
162,57.0,52.56798
163,52.0,51.834835
164,36.0,43.21178
165,39.0,46.3659
166,56.0,49.44376
167,48.54166667,48.921467
168,35.0,47.011078
169,37.27777778,51.024693
170,54.0,53.368523
171,34.0,54.57484
172,46.0,50.06832
173,76.0,46.900238
174,71.0,57.348106
175,68.0,52.60673
176,38.77777778,52.609318
177,67.08333333,53.26702
178,64.0,55.470547
179,54.0,53.678192
180,65.25,51.104153
181,43.0,44.706013
182,54.0,45.884224
183,59.0,46.146957
184,56.0,56.02303
185,49.0,49.699978
186,57.88888889,57.037125
187,82.0,52.85574
188,46.0,52.49483
189,49.0,46.999794
190,53.0,50.164272
191,49.0,48.897865
192,46.0,50.161366
193,46.38888889,46.26211
194,60.0,56.581066
195,55.0,47.428143
196,55.41666667,55.713978
197,64.79166667,51.555717
198,40.0,50.35239
199,70.0,56.285572
200,93.0,55.64133
201,50.94444444,49.589336
202,43.0,46.754482
203,46.66666667,47.130962
204,38.0,48.625248
205,60.13888889,49.058132
206,40.0,45.623158
207,36.0,40.73873
208,65.0,52.60368
209,42.0,49.153656
210,36.0,44.989372
211,54.25,45.499752
212,46.0,46.400795
213,68.0,54.802967
214,49.0,49.95329
215,53.0,52.633335
216,44.0,48.621094
217,41.0,42.253513
218,48.0,46.73321
219,51.36111111,49.734818
220,44.0,54.298214
221,48.0,46.515095
222,37.27777778,44.7489
223,51.25,51.697628
224,43.75,47.762074
225,59.75,50.207775
226,48.54166667,49.696125
227,79.38888889,54.689327
228,41.83333333,44.745056
229,38.0,45.949955
230,54.0,45.388638
231,50.0,50.046715
232,35.0,47.81697
233,67.0,50.747337
234,59.0,50.936386
235,44.0,46.0833
236,46.66666667,46.08743
237,96.0,53.648014
238,51.0,51.419136
239,62.5,54.58008
240,54.0,47.64147
241,46.66666667,54.122948
242,51.0,50.546665
243,41.0,48.67232
244,79.0,45.47134
245,60.0,52.25131
246,35.0,52.226578
247,40.0,40.42049
248,48.0,47.14343
249,41.83333333,50.420483
250,44.0,47.558773
251,49.0,51.057373
252,61.66666667,49.763626
253,42.0,52.736767
254,51.0,50.92675
255,62.33333333,57.472744
256,68.0,51.16374
257,40.0,44.99702
258,40.33333333,52.187744
259,49.0,49.748276
260,46.66666667,48.032345
261,70.41666667,54.386833
262,68.0,49.236668
263,41.0,49.640724
264,40.33333333,54.027874
265,46.80555556,46.922737
266,102.0,53.643036
267,76.0,52.413708
268,51.25,50.001556
269,40.0,51.248795
270,49.0,49.407818
271,44.0,44.494793
272,59.0,48.017223
273,58.0,53.365692
274,67.08333333,50.674828
275,44.0,43.46159
276,43.0,48.492462
277,44.0,46.15
278,43.0,44.690838
279,43.75,47.679737
280,37.91666667,47.616898
281,58.0,54.63721
282,56.33333333,53.695595
283,37.66666667,44.709137
284,53.95833333,50.449387
285,68.0,55.72137
286,78.0,49.203255
287,66.88888889,48.5561
288,46.0,46.10335
289,49.0,49.964523
290,49.0,53.113506
291,37.0,45.929195
292,51.0,50.39954
293,51.5,51.173965
294,43.0,49.71039
295,49.16666667,48.418377
296,54.0,53.53351
297,43.0,47.854412
298,46.0,48.693394
299,58.0,51.59974
300,60.0,56.469036
