,WITHD,0
0,55.0,54.96631
1,62.0,45.280308
2,55.41666667,51.938137
3,90.0,51.580685
4,48.0,45.654408
5,43.0,50.615864
6,37.0,47.141514
7,46.0,47.52692
8,67.0,50.62657
9,62.0,52.03996
10,51.0,50.32418
11,63.0,55.825474
12,35.0,43.749935
13,57.0,55.16861
14,55.0,51.954914
15,46.0,51.494774
16,82.0,51.72858
17,65.0,57.030136
18,52.5,46.55921
19,43.0,49.504303
20,61.66666667,50.076504
21,51.0,51.06449
22,48.0,50.741405
23,41.0,46.302235
24,51.0,51.848316
25,56.0,54.824745
26,49.0,48.588985
27,51.0,50.51885
28,51.0,51.664352
29,59.0,49.48916
30,40.83333333,45.07807
31,40.0,43.68631
32,93.0,56.371986
33,51.5,45.817673
34,49.0,51.86349
35,48.33333333,44.72042
36,51.25,52.71598
37,47.0,55.888844
38,38.0,50.332016
39,46.0,51.138233
40,58.0,56.24115
41,59.375,51.628803
42,35.0,47.272606
43,50.94444444,50.703876
44,60.0,42.18924
45,54.0,52.990456
46,67.0,46.125137
47,60.0,53.05947
48,65.0,51.510254
49,43.125,49.098362
50,46.0,46.000744
51,62.0,47.712368
52,52.0,50.00535
53,35.0,50.818195
54,39.0,45.188625
